StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-12 20:00:58,2025-12-12 20:15:00,331,13,235,180
2025-12-12 20:15:00,2025-12-12 20:24:34,83,3,59,45
2025-12-12 20:33:34,2025-12-12 20:45:00,73,2,51,39
2025-12-12 20:45:00,2025-12-12 20:51:45,100,4,71,54
2025-12-12 21:15:00,2025-12-12 21:16:03,16,0,11,8
2025-12-12 21:41:33,2025-12-12 21:43:13,67,2,47,36
2025-12-12 21:53:15,2025-12-12 21:56:40,40,1,28,21
2025-12-12 21:45:00,2025-12-12 21:56:40,40,1,28,21
2025-12-13 00:04:37,2025-12-13 00:12:27,59,2,42,32
2025-12-13 00:35:56,2025-12-13 00:36:56,10,0,7,5
2025-12-13 09:41:17,2025-12-13 09:42:21,14,0,9,7
2025-12-13 09:52:31,2025-12-13 10:00:00,91,3,64,49
2025-12-13 10:00:00,2025-12-13 10:01:12,36,1,25,19
2025-12-13 10:34:57,2025-12-13 10:43:19,589,23,419,321
2025-12-13 11:07:24,2025-12-13 11:15:00,474,19,337,258
2025-12-13 11:15:00,2025-12-13 11:29:24,1521,61,1082,829
2025-12-13 11:31:04,2025-12-13 11:45:00,1171,47,833,638
2025-12-13 11:45:00,2025-12-13 12:00:00,1077,43,766,587
2025-12-13 12:00:00,2025-12-13 12:11:34,1471,59,1047,802
2025-12-13 12:18:33,2025-12-13 12:30:00,721,29,513,393
2025-12-13 12:30:00,2025-12-13 12:45:00,945,38,672,515
2025-12-13 12:45:00,2025-12-13 13:00:00,945,38,672,515
2025-12-13 13:00:00,2025-12-13 13:15:00,945,38,672,515
2025-12-13 13:15:00,2025-12-13 13:30:00,945,38,672,515
2025-12-13 13:30:00,2025-12-13 13:45:00,945,38,672,515
2025-12-13 13:45:00,2025-12-13 14:00:00,987,39,702,538
2025-12-13 14:00:00,2025-12-13 14:12:13,32,1,22,17
2025-12-13 14:30:23,2025-12-13 14:45:00,34,1,24,18
