StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-08 03:15:00,2025-12-08 03:30:00,74,2,52,40
2025-12-08 03:30:00,2025-12-08 03:45:00,74,2,52,40
2025-12-08 03:45:00,2025-12-08 04:00:00,74,2,52,40
2025-12-08 04:00:00,2025-12-08 04:15:00,74,2,52,40
2025-12-08 04:15:00,2025-12-08 04:30:00,74,2,52,40
2025-12-08 04:30:00,2025-12-08 04:45:00,74,2,52,40
2025-12-08 04:45:00,2025-12-08 05:00:00,74,2,52,40
2025-12-08 05:00:00,2025-12-08 05:15:00,74,2,52,40
2025-12-08 05:15:00,2025-12-08 05:30:00,74,2,52,40
2025-12-08 05:30:00,2025-12-08 05:45:00,74,2,52,40
2025-12-08 05:45:00,2025-12-08 06:00:00,74,2,52,40
2025-12-08 06:00:00,2025-12-08 06:15:00,74,2,52,40
2025-12-08 06:15:00,2025-12-08 06:30:00,74,2,52,40
2025-12-08 06:30:00,2025-12-08 06:45:00,74,2,52,40
2025-12-08 06:45:00,2025-12-08 07:00:00,74,2,52,40
2025-12-08 07:00:00,2025-12-08 07:15:00,74,2,52,40
2025-12-08 07:15:00,2025-12-08 07:30:00,74,2,52,40
2025-12-08 07:30:00,2025-12-08 07:45:00,74,2,52,40
2025-12-08 07:45:00,2025-12-08 08:00:00,74,2,52,40
2025-12-08 08:00:00,2025-12-08 08:15:00,74,2,52,40
2025-12-08 08:15:00,2025-12-08 08:30:00,74,2,52,40
2025-12-08 08:30:00,2025-12-08 08:45:00,74,2,52,40
2025-12-08 08:45:00,2025-12-08 09:00:00,74,2,52,40
2025-12-08 09:00:00,2025-12-08 09:15:00,74,2,52,40
2025-12-08 09:15:00,2025-12-08 09:30:00,74,2,52,40
2025-12-08 09:30:00,2025-12-08 09:45:00,74,2,52,40
2025-12-08 09:45:00,2025-12-08 10:00:00,74,2,52,40
2025-12-08 10:00:00,2025-12-08 10:15:00,74,2,52,40
2025-12-08 10:15:00,2025-12-08 10:30:00,74,2,52,40
2025-12-08 10:30:00,2025-12-08 10:45:00,74,2,52,40
2025-12-08 10:45:00,2025-12-08 11:00:00,74,2,52,40
2025-12-08 11:00:00,2025-12-08 11:15:00,74,2,52,40
2025-12-08 11:15:00,2025-12-08 11:30:00,74,2,52,40
2025-12-08 11:30:00,2025-12-08 11:45:00,74,2,52,40
2025-12-08 11:45:00,2025-12-08 12:00:00,74,2,52,40
2025-12-08 12:00:00,2025-12-08 12:15:00,74,2,52,40
2025-12-08 12:15:00,2025-12-08 12:30:00,74,2,52,40
2025-12-08 12:30:00,2025-12-08 12:45:00,74,2,52,40
2025-12-08 12:45:00,2025-12-08 13:00:00,74,2,52,40
2025-12-08 13:00:00,2025-12-08 13:15:00,74,2,52,40
2025-12-08 13:15:00,2025-12-08 13:30:00,74,2,52,40
2025-12-08 13:30:00,2025-12-08 13:45:00,74,2,52,40
2025-12-08 13:45:00,2025-12-08 14:00:00,74,2,52,40
2025-12-08 14:00:00,2025-12-08 14:15:00,74,2,52,40
2025-12-08 14:15:00,2025-12-08 14:30:00,74,2,52,40
2025-12-08 14:30:00,2025-12-08 14:45:00,74,2,52,40
2025-12-08 14:45:00,2025-12-08 15:00:00,74,2,52,40
2025-12-08 15:00:00,2025-12-08 15:15:00,74,2,52,40
2025-12-08 15:15:00,2025-12-08 15:30:00,74,2,52,40
2025-12-08 15:30:00,2025-12-08 15:45:00,74,2,52,40
2025-12-08 15:45:00,2025-12-08 16:00:00,74,2,52,40
2025-12-08 16:00:00,2025-12-08 16:15:00,74,2,52,40
2025-12-08 16:15:00,2025-12-08 16:30:00,74,2,52,40
2025-12-08 16:30:00,2025-12-08 16:45:00,74,2,52,40
2025-12-08 16:45:00,2025-12-08 17:00:00,74,2,52,40
2025-12-08 17:00:00,2025-12-08 17:15:00,74,2,52,40
2025-12-08 17:15:00,2025-12-08 17:30:00,74,2,52,40
2025-12-08 17:30:00,2025-12-08 17:45:00,74,2,52,40
2025-12-08 17:45:00,2025-12-08 18:00:00,74,2,52,40
2025-12-08 18:00:00,2025-12-08 18:15:00,74,2,52,40
2025-12-08 18:15:00,2025-12-08 18:30:00,74,2,52,40
2025-12-08 18:30:00,2025-12-08 18:45:00,74,2,52,40
2025-12-08 18:45:00,2025-12-08 19:00:00,74,2,52,40
2025-12-08 19:00:00,2025-12-08 19:15:00,74,2,52,40
2025-12-08 19:15:00,2025-12-08 19:30:00,74,2,52,40
2025-12-08 19:30:00,2025-12-08 19:45:00,74,2,52,40
2025-12-08 19:45:00,2025-12-08 20:00:00,74,2,52,40
2025-12-08 20:00:00,2025-12-08 20:15:00,74,2,52,40
2025-12-08 20:15:00,2025-12-08 20:30:00,74,2,52,40
2025-12-08 20:30:00,2025-12-08 20:45:00,74,2,52,40
2025-12-08 20:45:00,2025-12-08 20:50:37,44,0,19,53
2025-12-10 09:30:00,2025-12-10 09:45:00,62,2,44,34
2025-12-10 09:45:00,2025-12-10 10:00:00,195,6,138,106
2025-12-10 10:00:00,2025-12-10 10:15:00,195,6,138,106
2025-12-10 10:15:00,2025-12-10 10:30:00,195,6,138,106
2025-12-10 10:30:00,2025-12-10 10:45:00,195,6,138,106
2025-12-10 10:45:00,2025-12-10 11:00:00,195,6,138,106
2025-12-10 11:00:00,2025-12-10 11:15:00,195,6,138,106
2025-12-10 11:15:00,2025-12-10 11:30:00,195,6,138,106
2025-12-10 11:30:00,2025-12-10 11:45:00,195,6,138,106
2025-12-10 11:45:00,2025-12-10 12:00:00,195,6,138,106
2025-12-10 12:00:00,2025-12-10 12:15:00,195,6,138,106
2025-12-10 12:15:00,2025-12-10 12:30:00,195,6,138,106
2025-12-10 12:30:00,2025-12-10 12:45:00,195,6,138,106
2025-12-10 12:45:00,2025-12-10 13:00:00,195,6,138,106
2025-12-10 13:00:00,2025-12-10 13:15:00,195,6,138,106
2025-12-10 13:15:00,2025-12-10 13:30:00,195,6,138,106
2025-12-10 13:30:00,2025-12-10 13:45:00,195,6,138,106
2025-12-10 13:45:00,2025-12-10 14:00:00,195,6,138,106
2025-12-10 14:00:00,2025-12-10 14:15:00,195,6,138,106
2025-12-10 14:15:00,2025-12-10 14:30:00,195,6,138,106
2025-12-10 14:30:00,2025-12-10 14:45:00,195,6,138,106
2025-12-10 14:45:00,2025-12-10 15:00:00,195,6,138,106
2025-12-10 15:00:00,2025-12-10 15:15:00,195,6,138,106
2025-12-10 15:15:00,2025-12-10 15:30:00,195,6,138,106
2025-12-10 15:30:00,2025-12-10 15:45:00,195,6,138,106
2025-12-10 15:45:00,2025-12-10 16:00:00,195,6,138,106
2025-12-10 16:00:00,2025-12-10 16:15:00,195,6,138,106
2025-12-10 16:15:00,2025-12-10 16:30:00,195,6,138,106
2025-12-10 16:30:00,2025-12-10 16:45:00,195,6,138,106
2025-12-10 16:45:00,2025-12-10 17:00:00,195,6,138,106
2025-12-10 17:00:00,2025-12-10 17:15:00,195,6,138,106
2025-12-10 17:15:00,2025-12-10 17:30:00,195,6,138,106
2025-12-10 17:30:00,2025-12-10 17:45:00,195,6,138,106
2025-12-10 17:45:00,2025-12-10 18:00:00,195,6,138,106
2025-12-10 18:00:00,2025-12-10 18:15:00,195,6,138,106
2025-12-10 18:15:00,2025-12-10 18:30:00,195,6,138,106
2025-12-10 18:30:00,2025-12-10 18:45:00,195,6,138,106
2025-12-10 18:45:00,2025-12-10 19:00:00,195,6,138,106
2025-12-10 19:00:00,2025-12-10 19:15:00,195,6,138,106
2025-12-10 19:15:00,2025-12-10 19:30:00,195,6,138,106
2025-12-10 19:30:00,2025-12-10 19:45:00,195,6,138,106
2025-12-10 19:45:00,2025-12-10 20:00:00,195,6,138,106
2025-12-10 20:00:00,2025-12-10 20:15:00,195,6,138,106
2025-12-10 20:15:00,2025-12-10 20:30:00,195,6,138,106
2025-12-10 20:30:00,2025-12-10 20:45:00,195,6,138,106
